datetime,total_lmp_day_ahead,total_lmp_real_time,congestion_price_day_ahead,congestion_price_real_time,marginal_loss_price_day_ahead,marginal_loss_price_real_time,rt_da_spread,congestion_share_da,congestion_share_rt,da_price_spike,rt_price_spike,load_mw,temperature_2m,hour,dayofweek,month,is_weekend,sin_hour,cos_hour
2024-07-10 19:00:00,51.234091,44.734669,-31.423213,-8.331861,-5.022696,-2.469304,-6.499422000000003,-0.6133262518505501,-0.18625064600343863,0,0,17583.379999999997,24.1,8,4,11,0,0.8660254037844387,-0.4999999999999998
2024-07-10 20:00:00,46.127183,39.805509,-14.65105,-3.895132,-3.641767,-1.717692,-6.321674000000002,-0.31762290794996084,-0.09785409351253364,0,0,17093.408,23.6,1,4,5,0,0.25881904510252074,0.9659258262890683
2024-07-10 21:00:00,40.749341,44.741013,-11.876365,-1.415991,-2.984294,-1.586329,3.991672000000001,-0.29144925313025305,-0.03164861287338309,0,0,16717.174,22.4,17,3,10,0,-0.9659258262890683,-0.25881904510252063
2024-07-10 22:00:00,34.279477,34.699674,-5.999653,-0.864139,-1.84087,-1.065353,0.4201970000000017,-0.17502171926368656,-0.02490337517291949,0,0,15848.438,21.6,9,3,4,0,0.7071067811865476,-0.7071067811865475
2024-07-10 23:00:00,30.951947,31.269455,-0.076509,-1.462167,-1.391544,-1.000045,0.3175080000000001,-0.0024718638863009163,-0.046760232949375036,0,0,14768.17,21.0,1,3,9,0,0.25881904510252074,0.9659258262890683
2024-07-11 00:00:00,29.242049,29.482003,0.033885,-1.168413,-1.291836,-1.06375,0.23995399999999734,0.0011587765275955866,-0.03963139817874654,0,0,13838.041000000001,20.5,16,2,3,0,-0.8660254037844384,-0.5000000000000004
2024-07-11 01:00:00,27.09421,23.480632,0.270131,-1.33017,-1.065921,-0.643365,-3.6135780000000004,0.009970063714719861,-0.05664966769207916,0,0,13201.035,19.9,9,2,8,0,0.7071067811865476,-0.7071067811865475
2024-07-11 02:00:00,22.549428,20.917419,0.167682,-1.09949,-0.598254,-0.418091,-1.632009,0.007436197494677027,-0.05256336835820902,0,0,12800.509,19.3,0,2,2,0,0.0,1.0
2024-07-11 03:00:00,20.005865,19.294928,0.26824,-0.587412,-0.432375,-0.345994,-0.7109370000000013,0.013408068084034356,-0.030443855504410283,0,0,12487.384,18.2,17,1,7,0,-0.9659258262890683,-0.25881904510252063
2024-07-11 04:00:00,21.428548,19.888373,0.226102,-0.037267,-0.437554,-0.327693,-1.5401749999999979,0.010551438202905768,-0.0018738083804039677,0,0,12592.282,17.4,8,1,1,0,0.8660254037844387,-0.4999999999999998
2024-07-11 05:00:00,24.63697,23.655917,0.336763,0.0,-0.749793,-0.349083,-0.9810530000000028,0.01366901043431883,0.0,0,0,12893.42,16.8,1,1,6,0,0.25881904510252074,0.9659258262890683
